user_id,name,unit,plan_type,point_id,n_vehicles
U0136,Maria Luísa Borges,20C,pay_per_use,P002,1
U0065,Maria Luísa Duarte,4B,pay_per_use,P003,1
U0049,Mariana da Mota,18B,pay_per_use,P002,1
U0096,Mariane Ribeiro,4B,pay_per_use,P003,1
U0031,Maria Sophia Martins,17D,pay_per_use,P002,1
U0082,Maria Vitória Araújo,3A,pay_per_use,P002,1
U0072,Maria Vitória Pires,16D,pay_per_use,P004,1
U0061,Maya Ferreira,4A,pay_per_use,P002,1
U0127,Melina da Mota,13B,assinatura,P001,1
U0077,Melissa Castro,7C,assinatura,P002,2
U0104,Melissa Vieira,6D,pay_per_use,P003,1
U0119,Milena Sales,8A,assinatura,P002,1
U0132,Nicole Jesus,10C,pay_per_use,P001,1
U0115,Oliver Pereira,9B,pay_per_use,P002,1
U0069,Olívia Vieira,15A,pay_per_use,P001,1
U0034,Pedro Miguel Novaes,13D,pacote_condominial,P001,1
U0125,Pedro Sousa,4D,pay_per_use,P001,1
U0019,Rafael Abreu,12B,pay_per_use,P003,1
U0075,Rafael Carvalho,9D,assinatura,P004,1
U0085,Raquel Alves,14C,pay_per_use,P001,1
U0029,Raquel Cunha,19D,pay_per_use,P003,2
U0011,Ravi Garcia,12C,pay_per_use,P003,1
U0100,Ravi Nunes,17D,pay_per_use,P003,1
U0128,Ravy Ferreira,2D,assinatura,P003,1
U0097,Rebeca Caldeira,4A,pay_per_use,P003,2
U0103,Rebeca Novais,11B,pay_per_use,P001,1
U0039,Rhavi Montenegro,9B,assinatura,P001,1
U0133,Sara Pires,11D,pay_per_use,P004,1
U0102,Sra. Alexia Moreira,9A,pay_per_use,P004,1
U0093,Sr. Danilo Vasconcelos,8C,assinatura,P001,1
U0048,Sr. João Montenegro,9D,pay_per_use,P002,1
U0045,Sr. Joaquim Freitas,8A,pay_per_use,P001,1
U0110,Sr. Kevin Albuquerque,7B,pay_per_use,P003,1
U0101,Sr. Ryan Cunha,2A,pay_per_use,P003,1
U0001,Srta. Ísis Borges,5A,pay_per_use,P002,1
U0025,Srta. Luana Guerra,3B,pay_per_use,P003,1
U0083,Srta. Maria Helena Mendes,13A,pay_per_use,P002,1
U0142,Srta. Maria Isis da Conceição,3C,pay_per_use,P002,1
U0148,Srta. Maya Brito,16D,pay_per_use,P004,1
U0098,Srta. Maya Cavalcanti,9C,pay_per_use,P002,1
U0013,Sr. Theo Gonçalves,3C,assinatura,P004,1
U0042,Stephany Dias,20C,pay_per_use,P001,1
U0109,Valentina Peixoto,12A,pay_per_use,P003,1
U0046,Vinícius Albuquerque,16A,assinatura,P001,1
U0014,Vitor Gabriel da Luz,19B,pay_per_use,P003,1
U0090,Vitor Hugo Aragão,20A,pay_per_use,P004,1
U0021,Vitória Abreu,6D,pay_per_use,P002,1
U0134,Yan Cardoso,18B,pay_per_use,P003,1
U0047,Yuri Cassiano,5D,pay_per_use,P002,1
U0007,Yuri da Rocha,6D,pay_per_use,P001,1
U0063,Zoe Rodrigues,15A,assinatura,P004,1
U0084,Zoe Souza,19A,pay_per_use,P002,1
